Year,Insects,Birds,Bats,Plant
1,56199999.99999997,1804.3500000000001,100,0
2,1000000,568.5706630868942,100,0
3,1000000,870.4261525713193,100,598218.4953729436
4,1000000,5,100,596628.8565685924
5,1709336.7941153245,17.592840726269824,100,598277.3666281956
6,1000000,54.584276406126165,100,579794.7000325323
7,1000000,36.56660999795721,100,586975.6715291848
8,1000000,5,100,596578.9256387319
9,1681008.9533216828,13.516133734210216,100,594625.9663852411
10,1179847.702416021,5,100,562039.8440448551
11,2229074.9498111918,11.475000000000001,100,588424.1995082826
12,3373923.010657675,7.091263124999995,100,557675.489391857
13,7781914.160980606,13.197608318221276,100,531328.4074655327
14,14780085.366751594,22.703151960706805,100,431713.01924930373
15,10206356.128496626,41.977945073262134,100,268261.29134987685
16,5360522.545014029,16.061496259897012,100,355971.2418948567
17,9046571.10905775,31.84671394744037,100,486534.83042691025
18,9518335.026990592,20.57908401170475,100,421190.38224123634
19,13247115.172641814,37.161990266071065,100,419199.3176867871
20,5651648.458138088,36.780445407320364,100,299344.3984799028
21,3259578.03073648,6.580788104318469,100,470651.10185820283
22,7468654.5251239035,17.842204795320402,100,536507.0669646699
23,12432372.418017253,26.822508604026012,100,439643.25644173543
24,10967942.98513008,37.68442810399972,100,320431.7736282778
25,7077535.417653434,27.666888041232106,100,360614.83320647344
26,8181915.898928086,30.68692038271743,100,444446.5049352364
27,8757558.830252254,23.303950807700147,100,420050.5000569713
28,11521814.785544932,34.54123911782416,100,410557.771798228
29,8449861.611062102,31.817434742943124,100,354076.569035859
30,8208910.718133338,29.215093441031478,100,404280.1480791556
31,8995191.917529806,28.924258362861988,100,414494.34238889883
32,9924931.567574808,30.49473162549667,100,411250.7502958663
33,9667787.69242312,32.559534141394444,100,379267.69409797597
34,9048495.769159913,30.462887224953136,100,402309.7735335976
35,9614307.191874426,31.743912070358686,100,425432.46978560777
36,9531541.141322026,31.12483504674526,100,401613.620036592
37,9180006.643260302,32.43547804850641,100,375851.45449182816
38,8675409.28102638,28.883327803658656,100,399478.19773066416
39,9654480.395116683,31.713034437885447,100,420693.18066663254
40,9378096.063675988,30.094559311670736,100,393040.150078892
41,9749065.569893204,32.80863059504044,100,405500.0213658535
42,8580899.172052564,30.219642172772915,100,366606.9192409214
43,8936806.250180664,30.22260702460693,100,412945.9352798177
44,9236260.578522662,29.655102787798906,100,398007.9258391362
45,9871171.633133356,31.52799988212444,100,414439.92803027097
46,9113208.283435076,31.843029929787157,100,368123.8972546954
47,8911990.070673164,29.637716109043822,100,411037.14597212535
48,9479968.069940105,31.464377712532897,100,404298.61834479176
49,9301431.051246786,30.19032687675599,100,397064.37260711833
50,9172493.360069629,32.21394505758145,100,374177.98348187003
51,40743385.12321321,113.83033245382587,39.642211287988424,322247.0475313106
52,1000000,383.44165376774987,77.67207005367064,0
53,1000000,805.8839782954626,145.2404188847164,691600.3854475442
54,1000000,5,223.9260445736939,682396.7450201714
55,2386253.770347795,17.567591473903068,137.27614778627571,699136.6647011283
56,3646450.6923585096,54.04976295810695,45.506138392568616,660396.2525469712
57,1000000,43.90145618501289,43.078004540985404,614003.6099402616
58,1000000,5,5,695737.5292182583
59,2385363.5602568034,13.661661189746699,7.835106630942697,701226.1283291768
60,4809158.962983265,7.102292864142527,9.514361499669988,653047.4941646825
61,14458212.828507232,16.014885508368312,9.971794984449424,607415.8639876407
62,22887113.168377474,36.05551392247163,12.68544245803378,361736.71408666804
63,1000000,66.66681606172658,17.559031056342217,151525.21523846197
64,1000000,5,7.118853293586707,714385.8896647018
65,2371123.8657277254,13.880114836314158,9.149388904892126,687213.1801600643
66,4658556.336392311,7.921649443144666,9.91986350477198,660700.1299320742
67,13675401.482757866,16.590492588463743,9.998562871118844,596138.3281602932
68,23474820.783312835,35.5175068757516,12.443390265570045,413711.41498014814
69,1000000,66.9471156469509,17.409970038765785,165979.59005657805
70,1000000,5,7.439955140097917,706167.1825493617
71,2371313.182368999,13.899977672232287,9.325570412614582,686170.7470573328
72,4659988.366245936,8.011293468917119,9.948225032560401,673225.2933135855
73,13684397.295134982,16.662088668835537,9.99921686624752,604951.6035376028
74,22404949.145203,35.58784073066691,12.44677256550014,366252.88573574554
75,1000000,64.89697533503879,17.17789331032062,185037.7508684831
76,1000000,5,6.9010016286335745,688652.7032898566
77,2370611.0899260947,13.784683885253662,9.018234716618892,688012.2746966241
78,4674749.438908266,7.507762942682893,9.894759903072602,642500.0424057294
79,13827181.90471325,16.260050223880732,9.997851126708598,597302.6003404822
80,22599951.38818939,35.45002579844072,12.494249010265584,381330.9888436066
81,1000000,65.38897602353654,17.274917544864373,164204.5101306627
82,1000000,5,6.991228620589096,682446.3290228088
83,2371706.9775308636,13.812784485780803,9.073694470063234,707125.017065866
84,4674556.931448694,7.632781129164471,9.905790793156282,645543.7508354323
85,13802936.864103395,16.37159362842955,9.998179245840804,599579.4333773219
86,23096193.711661555,35.513921122385234,12.486282100819754,397421.11829538754
87,1000000,66.3409869221635,17.376249836475235,138862.15198624856
88,1000000,5,7.241949544412023,705036.6031172372
89,2370739.2071341733,13.865863970830961,9.219342106202784,689897.4979945392
90,4664922.502481457,7.856513777670822,9.931860173094385,669458.6616521085
91,13754448.55045044,16.547648690354464,9.998858941165881,612883.6536986746
92,23445971.698781904,35.59208125195242,12.47030370119281,401525.3669717165
93,1000000,66.97929513287977,17.43397672349217,173483.20344779675
94,1000000,5,7.42063666330222,688641.4574968197
95,2370564.2747011445,13.901047274277458,9.315547959585652,685739.166535168
96,4648011.866439305,8.011714540112806,9.946776494628747,658920.7540504866
97,13629794.355500413,16.64510585574802,9.999187323535411,604318.4511294157
98,22659423.25329119,35.493855697694656,12.428170121199651,380359.2473005589
99,1000000,65.33586313311048,17.21471324701793,189677.18834217114
100,1000000,5,7.0320142144756,696510.2711356545
101,36808735.87486678,113.83048936258905,23.823199168842734,103634.483394437
102,1000000,383.3209622070301,46.968240996734686,0
103,1000000,803.0751801653785,90.05010674189194,473576.9299692338
104,1000000,5,154.12857565098506,457733.4902689057
105,2064531.7390430965,17.56578498764189,160.37588989526984,452943.52148032055
106,1769661.4642721526,53.94908937027491,7.1136887602284276,443281.06903930387
107,1000000,32.6087080609459,12.959805987741554,448064.56270448264
108,1000000,7.200187578592885,18.071248208666987,466173.83856594784
109,1399252.4856503583,16.39306259171703,7.542637473554491,460860.29188600986
110,1000000,5,9.377601946684058,464046.2658845833
111,2059082.2699212995,11.475000000000001,9.955425465126465,457370.89418606856
112,3565719.5640367377,7.091263124999995,9.999357552624504,440377.24084734643
113,9124233.091572655,13.555745878902034,9.999993534665121,398583.1678450253
114,13929889.332046675,25.64923528698824,10.492164099165127,260128.28438536392
115,1000000,41.30200958320545,12.92066732121975,155702.97380234505
116,1000000,5,9.184707210689343,455033.3708731239
117,2039451.1001226269,12.003594736851365,9.926041541209,455228.9069056324
118,3311010.7563036405,5.774556874195856,9.998718899903043,446787.3301799618
119,8805369.667168733,12.519784561921544,9.999987026518502,404206.32462066447
120,14273052.139656473,24.58115046345214,10.316380107014622,275871.27805050183
121,1000000,41.88503477452871,12.897290008333563,142205.7623561119
122,1000000,5,9.197938250236774,468961.1693120351
123,2042324.9296713732,12.030786897329875,9.928292380509475,465589.59130772727
124,3312125.8688952657,5.702908118852523,9.998773867518487,440002.9218311386
125,8834493.136226486,12.46647177144304,9.9999875898385,406179.77023665904
126,14467487.819651745,24.6128092258266,10.332707484515533,282710.59448489756
127,1000000,42.35455975139067,12.975132335252823,140147.03972244344
128,1000000,5,9.153461494538103,465841.8260310168
129,2042075.7633454604,12.077597967213102,9.920588498263644,465370.985347112
130,3284745.7900339873,5.578668183968856,9.998581572508442,424135.4326016374
131,8773635.851564508,12.332139963109324,9.999985616543366,402267.4039890674
132,14315820.644221304,24.43898609814958,10.298525687438412,280788.4230021741
133,1000000,41.955338049012454,12.897116456504829,148565.47202027135
134,1000000,5,9.19803607207249,468069.1757002006
135,2042436.5523292432,12.035368236394104,9.92830889269273,465032.7365559169
136,3313134.7579164556,5.690799024983365,9.9987742670551,442452.7179656946
137,8849973.287916305,12.458240872250016,9.999987593930847,409284.979709379
138,14281498.87500165,24.636628407232934,10.341363416356453,271225.28945391043
139,1000000,41.94650917946309,12.920321998788554,151798.59884765337
140,1000000,5,9.184903442903657,462488.1179053583
141,2042432.9799241023,12.03783091197515,9.926075177087396,467151.352030935
142,3307036.0405320646,5.684285350076932,9.99871972870605,435311.50937007496
143,8817300.520490848,12.445404387225777,9.999987035016696,403920.50500376325
144,14222107.059480665,24.572098316394673,10.323075571904305,273303.97276116343
145,1000000,41.781279789210416,12.885601340045111,133800.58054347953
146,1000000,5,9.204513199127106,460038.79519878014
147,2041725.632127955,12.020403389467793,9.929398006205334,468811.86195600237
148,3315966.6529337214,5.730312877997415,9.998800500550802,445018.3790638244
149,8833788.116663592,12.492632579124901,9.999987862564414,403128.3689890328
150,14336017.733166657,24.62415282083917,10.332312911091794,277471.4380313611
